"Code,""Nom"",""DCI"",""Marque"",""Categorie"",""Forme"",""Prix Vente"",""Prix Achat"",""Rx"",""Quantite"""
"PN1075,""Cromoptic cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1076,""Co-Avazir cy"","""","""",""Autre"",""Comprime"",""53000"",""0"",""Non"",""1"""
"PN1077,""Collyre bleu cy"","""","""",""Autre"",""Comprime"",""44000"",""0"",""Non"",""5"""
"PN1259,""cerulyse cy"","""","""",""Autre"",""Comprime"",""34000"",""0"",""Non"",""1"""
"PN1079,""Chibrocadron cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1080,""Chibroxine cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1081,""Correctol cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1082,""Cetraxalplus gtte"","""","""",""Autre"",""Comprime"",""92000"",""0"",""Non"",""4"""
"PN1083,""Cetraxal Otico gtte"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1084,""Apdrops dx cy"","""","""",""Autre"",""Comprime"",""145000"",""0"",""Non"",""1"""
"PN1085,""Azopt cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1086,""Antibiosynalar gtte"","""","""",""Autre"",""Comprime"",""43000"",""0"",""Non"",""1"""
"PN1087,""Narisol cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1088,""Twinzol cy"","""","""",""Autre"",""Comprime"",""174000"",""0"",""Non"",""4"""
"PN1089,""Trillerg cy"","""","""",""Autre"",""Comprime"",""53000"",""0"",""Non"",""3"""
"PN1090,""Tobrex cy"","""","""",""Autre"",""Comprime"",""34000"",""0"",""Non"",""4"""
"PN1091,""Timosol cy"","""","""",""Autre"",""Comprime"",""19000"",""0"",""Non"",""1"""
"PN1092,""Sterdex pde"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1093,""Respibien gtte"","""","""",""Autre"",""Comprime"",""27000"",""0"",""Non"",""1"""
"PN1094,""Rifamycine cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1095,""Polydexa gtte"","""","""",""Autre"",""Comprime"",""33000"",""0"",""Non"",""18"""
"PN1096,""Polyfresh cy"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""3"""
"PN1097,""Physiodose 15 unidose"","""","""",""Autre"",""Comprime"",""34000"",""0"",""Non"",""5"""
"PN1098,""Physiodose 30 unidoses"","""","""",""Autre"",""Comprime"",""58000"",""0"",""Non"",""3"""
"PN1099,""Tetracycline pde"","""","""",""Autre"",""Comprime"",""5000"",""0"",""Non"",""10"""
"PN1260,""ofusidic cy"","""","""",""Autre"",""Comprime"",""58000"",""0"",""Non"",""2"""
"PN1101,""Otrivine enf gtte"","""","""",""Autre"",""Comprime"",""25000"",""0"",""Non"",""2"""
"PN1102,""Otrivine A/D gtte"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1103,""Otofa gtte"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1104,""Otipax gtte"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1105,""Boncipro gtte/cy"","""","""",""Autre"",""Comprime"",""35000"",""0"",""Non"",""2"""
"PN1106,""Orchazid cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1107,""Orchapred cy"","""","""",""Autre"",""Comprime"",""58000"",""0"",""Non"",""1"""
"PN1108,""Opticron cy"","""","""",""Autre"",""Comprime"",""60000"",""0"",""Non"",""1"""
"PN1109,""Opatanol cy"","""","""",""Autre"",""Comprime"",""86000"",""0"",""Non"",""3"""
"PN1110,""Optipred cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1111,""Neomdexsol cy"","""","""",""Autre"",""Comprime"",""19000"",""0"",""Non"",""6"""
"PN1112,""Niclosamide cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1113,""Ciprofloxacine cp"","""","""",""Autre"",""Comprime"",""10000"",""0"",""Non"",""9"""
"PN1114,""Amoxicilline entrance cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1115,""Roipar grippe cp"","""","""",""Autre"",""Comprime"",""6000"",""0"",""Non"",""13"""
"PN1116,""Afine cp"","""","""",""Autre"",""Comprime"",""5000"",""0"",""Non"",""103"""
"PN1117,""Litacold cp"","""","""",""Autre"",""Comprime"",""6000"",""0"",""Non"",""115"""
"PN1118,""Rapidex cp"","""","""",""Autre"",""Comprime"",""6000"",""0"",""Non"",""163"""
"PN1119,""Paradik cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1120,""kinal ibu cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1121,""T-Afnac cp"","""","""",""Autre"",""Comprime"",""18000"",""0"",""Non"",""3"""
"PN1122,""Albela cp"","""","""",""Autre"",""Comprime"",""7000"",""0"",""Non"",""7"""
"PN1123,""Parafizz 500mg cp"","""","""",""Autre"",""Comprime"",""3000"",""0"",""Non"",""123"""
"PN1124,""Parafizz 1g cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1125,""Genforte cp"","""","""",""Autre"",""Comprime"",""17000"",""0"",""Non"",""6"""
"PN1126,""Febrilex cp"","""","""",""Autre"",""Comprime"",""8000"",""0"",""Non"",""45"""
"PN1127,""B-vit fort cp"","""","""",""Autre"",""Comprime"",""11000"",""0"",""Non"",""5"""
"PN1128,""Maloxine cp"","""","""",""Autre"",""Comprime"",""12000"",""0"",""Non"",""30"""
"PN1129,""Vit B Denk cp"","""","""",""Autre"",""Comprime"",""14000"",""0"",""Non"",""3"""
"PN1261,""Dynapar 500/50"","""","""",""Autre"",""Comprime"",""19000"",""0"",""Non"",""15"""
"PN1131,""Mebendazole ibu 100mg cp"","""","""",""Autre"",""Comprime"",""4000"",""0"",""Non"",""49"""
"PN1132,""Claben cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1133,""Nifenidi Denk cp"","""","""",""Autre"",""Comprime"",""14000"",""0"",""Non"",""6"""
"PN1134,""Captopril 25mg Denk B/100 cp"","""","""",""Autre"",""Comprime"",""13000"",""0"",""Non"",""11"""
"PN1135,""Diclo Denk 50mg cp"","""","""",""Autre"",""Comprime"",""8000"",""0"",""Non"",""10"""
"PN1262,""Cotri Ibu 480"","""","""",""Autre"",""Comprime"",""4000"",""0"",""Non"",""1"""
"PN1136,""Diclo Denk 100mg cp"","""","""",""Autre"",""Comprime"",""20000"",""0"",""Non"",""11"""
"PN1137,""Furo Denk cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1138,""Atenolol Denk cp"","""","""",""Autre"",""Comprime"",""14000"",""0"",""Non"",""13"""
"PN1139,""Amlo Denk cp"","""","""",""Autre"",""Comprime"",""37000"",""0"",""Non"",""4"""
"PN1140,""Metformine 850mg Denk B/120 cp"","""","""",""Autre"",""Comprime"",""17000"",""0"",""Non"",""11"""
"PN1263,""philco cotri 480 cp"","""","""",""Autre"",""Comprime"",""3000"",""0"",""Non"",""68"""
"PN1142,""Glucart B/100 cp"","""","""",""Autre"",""Comprime"",""26000"",""0"",""Non"",""12"""
